#;Město;Okres
1;Praha;Praha
2;Brno;okres Brno-město
3;Ostrava;okres Ostrava-město
4;Plzeň;okres Plzeň-město
5;Liberec;okres Liberec
6;Olomouc;okres Olomouc
7;České Budějovice;okres České Budějovice
8;Hradec Králové;okres Hradec Králové
9;Pardubice;okres Pardubice
10;Ústí nad Labem;okres Ústí nad Labem
11;Zlín;okres Zlín
12;Kladno;okres Kladno
13;Havířov;okres Karviná
14;Most;okres Most
15;Opava;okres Opava
16;Jihlava;okres Jihlava
17;Frýdek-Místek;okres Frýdek-Místek
18;Teplice;okres Teplice
19;Karlovy Vary;okres Karlovy Vary
20;Karviná;okres Karviná
21;Mladá Boleslav;okres Mladá Boleslav
22;Chomutov;okres Chomutov
23;Děčín;okres Děčín
24;Jablonec nad Nisou;okres Jablonec nad Nisou
25;Prostějov;okres Prostějov
26;Přerov;okres Přerov
27;Česká Lípa;okres Česká Lípa
28;Třebíč;okres Třebíč
29;Tábor;okres Tábor
30;Znojmo;okres Znojmo
31;Třinec;okres Frýdek-Místek
32;Kolín;okres Kolín
33;Cheb;okres Cheb
34;Příbram;okres Příbram
35;Písek;okres Písek
36;Trutnov;okres Trutnov
37;Kroměříž;okres Kroměříž
38;Orlová;okres Karviná
39;Vsetín;okres Vsetín
40;Uherské Hradiště;okres Uherské Hradiště
41;Šumperk;okres Šumperk
42;Břeclav;okres Břeclav
43;Havlíčkův Brod;okres Havlíčkův Brod
44;Chrudim;okres Chrudim
45;Hodonín;okres Hodonín
46;Český Těšín;okres Karviná
47;Nový Jičín;okres Nový Jičín
48;Litoměřice;okres Litoměřice
49;Klatovy;okres Klatovy
50;Valašské Meziříčí;okres Vsetín
51;Krnov;okres Bruntál
52;Litvínov;okres Most
53;Strakonice;okres Strakonice
54;Sokolov;okres Sokolov
55;Kutná Hora;okres Kutná Hora
56;Beroun;okres Beroun
57;Kopřivnice;okres Nový Jičín
58;Vyškov;okres Vyškov
59;Jindřichův Hradec;okres Jindřichův Hradec
60;Žďár nad Sázavou;okres Žďár nad Sázavou
61;Bohumín;okres Karviná
62;Brandýs nad Labem-Stará Boleslav;okres Praha-východ
63;Mělník;okres Mělník
64;Blansko;okres Blansko
65;Náchod;okres Náchod
66;Jirkov;okres Chomutov
67;Kralupy nad Vltavou;okres Mělník
68;Žatec;okres Louny
69;Kadaň;okres Chomutov
70;Louny;okres Louny
71;Hranice;okres Přerov
72;Otrokovice;okres Zlín
73;Říčany;okres Praha-východ
74;Benešov;okres Benešov
75;Slaný;okres Kladno
76;Uherský Brod;okres Uherské Hradiště
77;Neratovice;okres Mělník
78;Pelhřimov;okres Pelhřimov
79;Jičín;okres Jičín
80;Svitavy;okres Svitavy
81;Rožnov pod Radhoštěm;okres Vsetín
82;Rakovník;okres Rakovník
83;Ostrov;okres Karlovy Vary
84;Nymburk;okres Nymburk
85;Dvůr Králové nad Labem;okres Trutnov
86;Poděbrady;okres Nymburk
87;Bruntál;okres Bruntál
88;Česká Třebová;okres Ústí nad Orlicí
89;Varnsdorf;okres Děčín
90;Turnov;okres Semily
91;Bílina;okres Teplice
92;Rokycany;okres Rokycany
93;Milovice;okres Nymburk
94;Tachov;okres Tachov
95;Klášterec nad Ohří;okres Chomutov
96;Mariánské Lázně;okres Cheb
97;Ústí nad Orlicí;okres Ústí nad Orlicí
98;Hlučín;okres Opava
99;Zábřeh;okres Šumperk
100;Šternberk;okres Olomouc
101;Český Krumlov;okres Český Krumlov
102;Krupka;okres Teplice
103;Aš;okres Cheb
104;Roudnice nad Labem;okres Litoměřice
105;Chodov;okres Sokolov
106;Vysoké Mýto;okres Ústí nad Orlicí
107;Boskovice;okres Blansko
108;Jaroměř;okres Náchod
109;Čelákovice;okres Praha-východ
110;Vrchlabí;okres Trutnov
111;Kuřim;okres Brno-venkov
112;Holešov;okres Kroměříž
113;Velké Meziříčí;okres Žďár nad Sázavou
114;Humpolec;okres Pelhřimov
115;Vlašim;okres Benešov
116;Rychnov nad Kněžnou;okres Rychnov nad Kněžnou
117;Nový Bor;okres Česká Lípa
118;Uničov;okres Olomouc
119;Domažlice;okres Domažlice
120;Prachatice;okres Prachatice
121;Rumburk;okres Děčín
122;Sušice;okres Klatovy
123;Kyjov;okres Hodonín
124;Veselí nad Moravou;okres Hodonín
125;Králův Dvůr;okres Beroun
126;Frenštát pod Radhoštěm;okres Nový Jičín
127;Jesenice;okres Praha-západ
128;Jeseník;okres Jeseník
129;Litomyšl;okres Svitavy
130;Čáslav;okres Kutná Hora
131;Přelouč;okres Pardubice
132;Lysá nad Labem;okres Nymburk
133;Ivančice;okres Brno-venkov
134;Frýdlant nad Ostravicí;okres Frýdek-Místek
135;Nové Město na Moravě;okres Žďár nad Sázavou
136;Mohelnice;okres Šumperk
137;Lanškroun;okres Ústí nad Orlicí
138;Hlinsko;okres Chrudim
139;Moravská Třebová;okres Svitavy
140;Litovel;okres Olomouc
141;Studénka;okres Nový Jičín
142;Tišnov;okres Brno-venkov
143;Nové Město nad Metují;okres Náchod
144;Hostivice;okres Praha-západ
145;Chotěboř;okres Havlíčkův Brod
146;Roztoky;okres Praha-západ
147;Polička;okres Svitavy
148;Mnichovo Hradiště;okres Mladá Boleslav
149;Nová Paka;okres Jičín
150;Dobříš;okres Příbram
151;Lovosice;okres Litoměřice
152;Duchcov;okres Teplice
153;Choceň;okres Ústí nad Orlicí
154;Štětí;okres Litoměřice
155;Hořice;okres Jičín
156;Příbor;okres Nový Jičín
157;Třeboň;okres Jindřichův Hradec
158;Červený Kostelec;okres Náchod
159;Dubí;okres Teplice
160;Stříbro;okres Tachov
161;Hořovice;okres Beroun
162;Semily;okres Semily
163;Bystřice pod Hostýnem;okres Kroměříž
164;Hrádek nad Nisou;okres Liberec
165;Lipník nad Bečvou;okres Přerov
166;Milevsko;okres Písek
167;Šlapanice;okres Brno-venkov
